# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# VVN      = Minimum opgetreden zicht; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Uurvak waarin VVX is gemeten; 
# 
# STN,YYYYMMDD,  VVN, VVXH
# 
  242,19960328,   14,    2
  242,19960329,   58,   19
  242,19960330,   37,   11
  242,19960331,   57,   16
  242,19960401,   58,   13
  242,19960402,   50,    1
  242,19960403,   22,   18
  242,19960404,   50,   15
  242,19960405,   40,   12
  242,19960406,   13,    7
  242,19960407,    4,   13
  242,19960408,    4,   19
  242,19960409,    8,    1
  242,19960410,    4,   12
  242,19960411,     ,     
  242,19960412,     ,     
  242,19960413,     ,     
  242,19960414,     ,     
  242,19960415,     ,     
  242,19960416,   29,   14
  242,19960417,   43,   10
  242,19960418,   50,   21
  242,19960419,   58,   17
  242,19960420,   39,   15
  242,19960421,   26,   16
  242,19960422,   30,   14
  242,19960423,   58,    7
  242,19960424,   61,   18
  242,19960425,   62,   18
  242,19960426,    9,    1
  242,19960427,    7,   12
  242,19960428,   20,   24
  242,19960429,   50,   23
  242,19960430,   48,    1
  242,19960501,   41,   22
  242,19960502,    4,   18
  242,19960503,    9,   14
  242,19960504,   63,    9
  242,19960505,   66,   12
  242,19960506,   56,    8
  242,19960507,   57,   12
  242,19960508,   67,   18
  242,19960509,   62,    7
  242,19960510,   57,   16
  242,19960511,   47,   15
  242,19960512,   61,   11
  242,19960513,   58,    9
  242,19960514,   58,   18
  242,19960515,   68,    7
  242,19960516,   62,   15
  242,19960517,   27,    2
  242,19960518,    2,    9
  242,19960519,    1,   20
  242,19960520,   58,    8
  242,19960521,   59,   11
  242,19960522,   21,   15
  242,19960523,   10,   20
  242,19960524,   26,    6
  242,19960525,    2,   14
  242,19960526,   11,    6
  242,19960527,   11,   19
  242,19960528,   65,   14
  242,19960529,   15,    1
  242,19960530,   50,   14
  242,19960531,   60,    5
  242,19960601,   60,   16
  242,19960602,   58,   16
  242,19960603,   59,    8
  242,19960604,    1,   14
  242,19960605,   38,   17
  242,19960606,    9,    8
  242,19960607,    7,   15
  242,19960608,   16,    8
  242,19960609,   27,   20
  242,19960610,   23,    1
  242,19960611,   22,   16
  242,19960612,   62,   23
  242,19960613,   75,   21
  242,19960614,   76,   13
  242,19960615,   77,    7
  242,19960616,   80,    1
  242,19960617,   56,   17
  242,19960618,   60,    9
  242,19960619,   30,   15
  242,19960620,   35,   15
  242,19960621,   58,   17
  242,19960622,   22,    1
  242,19960623,   60,   12
  242,19960624,   56,   22
  242,19960625,   57,   20
  242,19960626,   27,    2
  242,19960627,    6,   11
  242,19960628,   29,    1
  242,19960629,   33,   16
  242,19960630,   50,   12
  242,19960701,   68,   22
  242,19960702,   75,    8
  242,19960703,   44,   10
  242,19960704,   58,    9
  242,19960705,   59,   22
  242,19960706,   65,   10
  242,19960707,   78,    2
  242,19960708,   59,    1
  242,19960709,   10,    2
  242,19960710,   65,   22
  242,19960711,   57,    2
  242,19960712,   16,   12
  242,19960713,   30,   17
  242,19960714,   57,   12
  242,19960715,   72,    7
  242,19960716,   67,    2
  242,19960717,   73,   11
  242,19960718,   75,   16
  242,19960719,   70,   15
  242,19960720,   71,    1
  242,19960721,   67,   11
  242,19960722,   58,    1
  242,19960723,   57,    2
  242,19960724,   32,   12
  242,19960725,   45,   21
  242,19960726,   60,    6
  242,19960727,   30,   14
  242,19960728,   76,    7
  242,19960729,   60,   15
  242,19960730,    9,   13
  242,19960731,   35,    5
  242,19960801,   57,   15
  242,19960802,   75,    9
  242,19960803,   75,    2
  242,19960804,   60,    7
  242,19960805,   80,    1
  242,19960806,   23,    7
  242,19960807,   50,   10
  242,19960808,   41,   12
  242,19960809,   27,   15
  242,19960810,    8,    6
  242,19960811,   38,    6
  242,19960812,   10,    1
  242,19960813,   21,   24
  242,19960814,   57,   23
  242,19960815,   62,   23
  242,19960816,   58,   12
  242,19960817,   21,   14
  242,19960818,   17,   12
  242,19960819,   35,   22
  242,19960820,   71,   23
  242,19960821,   40,   22
  242,19960822,   44,   15
  242,19960823,   42,    1
  242,19960824,   56,   17
  242,19960825,   50,    2
  242,19960826,   49,   16
  242,19960827,    5,   16
  242,19960828,   56,   10
  242,19960829,   56,   16
  242,19960830,   61,    7
  242,19960831,   62,   20
  242,19960901,   61,   16
  242,19960902,   38,    7
  242,19960903,   58,   12
  242,19960904,   62,    1
  242,19960905,   59,   10
  242,19960906,   81,    1
  242,19960907,   81,    1
  242,19960908,   72,    1
  242,19960909,   61,   10
  242,19960910,   40,    3
  242,19960911,   58,   11
  242,19960912,   45,   24
  242,19960913,   56,    5
  242,19960914,   57,   17
  242,19960915,   69,   11
  242,19960916,   63,    9
  242,19960917,   62,    1
  242,19960918,   65,   13
  242,19960919,   60,    1
  242,19960920,   56,   24
  242,19960921,   66,   22
  242,19960922,   62,   21
  242,19960923,   40,    1
  242,19960924,   37,    2
  242,19960925,    1,   13
  242,19960926,    5,   13
  242,19960927,   12,   24
  242,19960928,   60,    4
  242,19960929,    9,    2
  242,19960930,   60,   16
  242,19961001,   67,   12
  242,19961002,   62,    8
  242,19961003,   27,    4
  242,19961004,   60,    1
  242,19961005,   30,    8
  242,19961006,   64,   11
  242,19961007,   50,    1
  242,19961008,   14,   13
  242,19961009,   21,   13
  242,19961010,   61,   14
  242,19961011,    8,   13
  242,19961012,    8,   22
  242,19961013,    4,   14
  242,19961014,   30,   20
  242,19961015,   18,   21
  242,19961016,   70,   11
  242,19961017,   58,    1
  242,19961018,   30,   18
  242,19961019,   30,    9
  242,19961020,   18,   19
  242,19961021,    7,    5
  242,19961022,   47,   14
  242,19961023,   40,   19
  242,19961024,   59,   24
  242,19961025,    6,   17
  242,19961026,   13,    8
  242,19961027,   56,    9
  242,19961028,   30,   21
  242,19961029,   18,    5
  242,19961030,   59,    6
  242,19961031,   24,    5
  242,19961101,   30,   15
  242,19961102,   56,    6
  242,19961103,   57,   18
  242,19961104,   10,   21
  242,19961105,   57,   18
  242,19961106,   25,    1
  242,19961107,   59,   21
  242,19961108,   61,   18
  242,19961109,   61,   22
  242,19961110,   42,    2
  242,19961111,   15,    7
  242,19961112,   12,   23
  242,19961113,   60,   13
  242,19961114,   70,   12
  242,19961115,   57,   12
  242,19961116,   45,   10
  242,19961117,    7,   24
  242,19961118,    5,   22
  242,19961119,   44,    5
  242,19961120,   38,   17
  242,19961121,   58,    3
