# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# VVN      = Minimum opgetreden zicht; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Uurvak waarin VVX is gemeten; 
# 
# STN,YYYYMMDD,  VVN, VVXH
# 
  242,20180720,   65,    9
  242,20180721,     ,     
  242,20180722,     ,     
  242,20180723,   65,   11
  242,20180724,   42,    9
  242,20180725,   57,   13
  242,20180726,   57,   23
  242,20180727,   64,   24
  242,20180728,   57,    8
  242,20180729,   59,   18
  242,20180730,   69,   13
  242,20180731,   29,    8
  242,20180801,   50,   12
  242,20180802,   58,   10
  242,20180803,   57,   16
  242,20180804,   58,   10
  242,20180805,   65,   14
  242,20180806,   70,    9
  242,20180807,   61,   16
  242,20180808,   63,   16
  242,20180809,   45,    8
  242,20180810,   56,   16
  242,20180811,   66,   18
  242,20180812,   62,   17
  242,20180813,   50,    9
  242,20180814,   36,   15
  242,20180815,   63,   10
  242,20180816,   36,   17
  242,20180817,   70,   13
  242,20180818,   62,    6
  242,20180819,   29,    3
  242,20180820,   47,   10
  242,20180821,   27,    8
  242,20180822,   27,   11
  242,20180823,   50,   19
  242,20180824,   62,   23
  242,20180825,   58,   13
  242,20180826,   39,   18
  242,20180827,   47,    8
  242,20180828,   61,   11
  242,20180829,   57,   20
  242,20180830,   65,   16
  242,20180831,   58,   12
  242,20180901,   65,   12
  242,20180902,   65,   16
  242,20180903,   56,   14
  242,20180904,   46,   17
  242,20180905,   56,   12
  242,20180906,   34,   19
  242,20180907,   58,   11
  242,20180908,   59,   21
  242,20180909,   62,   17
  242,20180910,   62,    8
  242,20180911,   27,    1
  242,20180912,   44,   15
  242,20180913,   65,    9
  242,20180914,   62,    9
  242,20180915,   50,   19
  242,20180916,   66,   14
  242,20180917,   60,   16
  242,20180918,   57,    6
  242,20180919,   59,    6
  242,20180920,   40,   16
  242,20180921,   31,    1
  242,20180922,   56,   23
  242,20180923,   58,    5
  242,20180924,   57,   23
  242,20180925,   67,   16
  242,20180926,   58,    2
  242,20180927,   57,   11
  242,20180928,   63,   24
  242,20180929,   70,   10
  242,20180930,   58,    1
  242,20181001,   56,    3
  242,20181002,   33,    2
  242,20181003,   59,   12
  242,20181004,   57,    9
  242,20181005,    0,   16
  242,20181006,    1,   24
  242,20181007,   68,    9
  242,20181008,   65,    5
  242,20181009,   59,    9
  242,20181010,   10,    1
  242,20181011,   56,   14
  242,20181012,   63,   11
  242,20181013,   65,   15
  242,20181014,   46,    1
  242,20181015,   23,   13
  242,20181016,   16,   15
  242,20181017,   40,   10
  242,20181018,   66,   15
  242,20181019,   65,   11
  242,20181020,   61,    3
  242,20181021,   25,    1
  242,20181022,   60,    1
  242,20181023,   56,    1
  242,20181024,   33,   15
  242,20181025,   25,    1
  242,20181026,   50,   16
  242,20181027,   17,   12
  242,20181028,   58,   14
  242,20181029,   70,    1
  242,20181030,   29,   12
  242,20181031,   57,    8
  242,20181101,   33,    7
  242,20181102,   50,   15
  242,20181103,   59,   13
  242,20181104,   21,    6
  242,20181105,   19,   12
  242,20181106,   16,   15
  242,20181107,   61,   14
  242,20181108,   62,   14
  242,20181109,   56,    1
  242,20181110,   49,    4
  242,20181111,   59,   11
  242,20181112,   33,   15
  242,20181113,   50,    4
  242,20181114,   56,   15
  242,20181115,   45,    1
  242,20181116,    2,    3
  242,20181117,   56,   14
